tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,primaryName
tt0093777,Prince of Darkness,Prince of Darkness,Prince of Darkness,1987.0,102,Horror,,John Carpenter
tt0096256,They Live,They Live,They Live,1988.0,94,Action,Horror,John Carpenter
tt0096256,John Carpenter's They Live,They Live,They Live,1988.0,94,Action,Horror,John Carpenter
tt0082245,Deadly Blessing,Deadly Blessing,Deadly Blessing,1981.0,100,Horror,Thriller,Wes Craven
tt0084745,Swamp Thing,Swamp Thing,Swamp Thing,1982.0,91,Horror,Sci-Fi,Wes Craven
tt0087800,Nightmare on Elm Street,A Nightmare on Elm Street,A Nightmare on Elm Street,1984.0,91,Horror,,Wes Craven
tt0087800,A Nightmare on Elm Street,A Nightmare on Elm Street,A Nightmare on Elm Street,1984.0,91,Horror,,Wes Craven
tt0089274,The Hills Have Eyes Part II,The Hills Have Eyes Part II,The Hills Have Eyes Part II,1984.0,86,Horror,Thriller,Wes Craven
tt0089274,The Hills Have Eyes Part 2,The Hills Have Eyes Part II,The Hills Have Eyes Part II,1984.0,86,Horror,Thriller,Wes Craven
tt0090917,Artificial Intelligence,Deadly Friend,Deadly Friend,1986.0,91,Drama,Horror,Wes Craven
tt0090917,A.I.,Deadly Friend,Deadly Friend,1986.0,91,Drama,Horror,Wes Craven
tt0090917,Deadly Friend,Deadly Friend,Deadly Friend,1986.0,91,Drama,Horror,Wes Craven
tt0090917,Friend,Deadly Friend,Deadly Friend,1986.0,91,Drama,Horror,Wes Craven
tt0096071,The Serpent and the Rainbow,The Serpent and the Rainbow,The Serpent and the Rainbow,1988.0,98,Fantasy,Horror,Wes Craven
tt0098320,Wes Craven's Shocker,Shocker,Shocker,1989.0,109,Comedy,Horror,Wes Craven
tt0098320,Shocker,Shocker,Shocker,1989.0,109,Comedy,Horror,Wes Craven
tt0098320,Shocker: No More Mr. Nice Guy,Shocker,Shocker,1989.0,109,Comedy,Horror,Wes Craven
tt0080472,Bronco Billy,Bronco Billy,Bronco Billy,1980.0,116,Action,Adventure,Clint Eastwood
tt0083943,Firefox,Firefox,Firefox,1982.0,136,Action,Adventure,Clint Eastwood
tt0084088,Honkytonk Man,Honkytonk Man,Honkytonk Man,1982.0,122,Comedy,Drama,Clint Eastwood
tt0086383,Sudden Impact,Sudden Impact,Sudden Impact,1983.0,117,Action,Crime,Clint Eastwood
tt0089767,Pale Rider,Pale Rider,Pale Rider,1985.0,115,Drama,Western,Clint Eastwood
tt0091187,Heartbreak Ridge,Heartbreak Ridge,Heartbreak Ridge,1986.0,130,Drama,War,Clint Eastwood
tt0094747,Bird,Bird,Bird,1988.0,161,Biography,Drama,Clint Eastwood
tt0094747,Yardbird Suite,Bird,Bird,1988.0,161,Biography,Drama,Clint Eastwood
tt0084412,Night Shift,Night Shift,Night Shift,1982.0,106,Comedy,,Ron Howard
tt0088161,Splash,Splash,Splash,1984.0,111,Comedy,Fantasy,Ron Howard
tt0088933,Cocoon,Cocoon,Cocoon,1985.0,117,Comedy,Drama,Ron Howard
tt0091159,Gung Ho,Gung Ho,Gung Ho,1986.0,112,Comedy,Drama,Ron Howard
tt0096446,Willow,Willow,Willow,1988.0,126,Action,Adventure,Ron Howard
tt0098067,Parenthood,Parenthood,Parenthood,1989.0,124,Comedy,Drama,Ron Howard
tt0091499,Maximum Overdrive,Maximum Overdrive,Maximum Overdrive,1986.0,98,Action,Comedy,Stephen King
tt0091499,Overdrive,Maximum Overdrive,Maximum Overdrive,1986.0,98,Action,Comedy,Stephen King
tt0087892,A Passage to India,A Passage to India,A Passage to India,1984.0,164,Adventure,Drama,David Lean
tt0080678,The Elephant Man,The Elephant Man,The Elephant Man,1980.0,124,Biography,Drama,David Lynch
tt0087182,Dune,Dune,Dune,1984.0,137,Action,Adventure,David Lynch
tt0090756,Blue Velvet,Blue Velvet,Blue Velvet,1986.0,120,Drama,Mystery,David Lynch
tt0081398,Raging Bull,Raging Bull,Raging Bull,1980.0,129,Biography,Drama,Martin Scorsese
tt0081398,The Raging Bull,Raging Bull,Raging Bull,1980.0,129,Biography,Drama,Martin Scorsese
tt0085794,The King of Comedy,The King of Comedy,The King of Comedy,1982.0,109,Comedy,Crime,Martin Scorsese
tt0088680,Lies,After Hours,After Hours,1985.0,97,Comedy,Crime,Martin Scorsese
tt0088680,A Night in SoHo,After Hours,After Hours,1985.0,97,Comedy,Crime,Martin Scorsese
tt0088680,After Hours,After Hours,After Hours,1985.0,97,Comedy,Crime,Martin Scorsese
tt0090863,The Color of Money,The Color of Money,The Color of Money,1986.0,119,Drama,Sport,Martin Scorsese
tt0090863,The Hustler; 8-Ball,The Color of Money,The Color of Money,1986.0,119,Drama,Sport,Martin Scorsese
tt0095497,Passion,The Last Temptation of Christ,The Last Temptation of Christ,1988.0,164,Drama,,Martin Scorsese
