tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,genre3
tt0096465,World Gone Wild,World Gone Wild,World Gone Wild,1987.0,95,Action,Sci-Fi,
tt0096921,Beyond the Stars,Beyond the Stars,Beyond the Stars,1989.0,88,Drama,Sci-Fi,
tt0097007,The Caller,The Caller,The Caller,1987.0,97,Mystery,Sci-Fi,Thriller
tt0097138,Spider-Man,Cyborg,Cyborg,1989.0,86,Action,Sci-Fi,Thriller
tt0097138,Cyborg,Cyborg,Cyborg,1989.0,86,Action,Sci-Fi,Thriller
tt0097138,Masters of the Universe 2: Cyborg,Cyborg,Cyborg,1989.0,86,Action,Sci-Fi,Thriller
tt0097138,Heat Seekers,Cyborg,Cyborg,1989.0,86,Action,Sci-Fi,Thriller
tt0097138,Masters of the Universe 2,Cyborg,Cyborg,1989.0,86,Action,Sci-Fi,Thriller
tt0097138,Slinger,Cyborg,Cyborg,1989.0,86,Action,Sci-Fi,Thriller
tt0097168,Deadly Reactor,Deadly Reactor,Deadly Reactor,1989.0,88,Action,Sci-Fi,Western
tt0097168,Reactor,Deadly Reactor,Deadly Reactor,1989.0,88,Action,Sci-Fi,Western
tt0097171,Deadly Weapon,Deadly Weapon,Deadly Weapon,1989.0,89,Drama,Sci-Fi,Thriller
tt0097371,Gnaw - Food of the Gods: Part 2,Food of the Gods II,Food of the Gods II,1989.0,91,Horror,Sci-Fi,
tt0097371,After Food of the Gods,Food of the Gods II,Food of the Gods II,1989.0,91,Horror,Sci-Fi,
tt0097371,Food of the Gods Part 2,Food of the Gods II,Food of the Gods II,1989.0,91,Horror,Sci-Fi,
tt0097410,Gunhead,Gunhed,Ganheddo,1989.0,100,Action,Sci-Fi,Thriller
tt0097444,Godzilla vs. Biollante,Godzilla vs. Biollante,Gojira vs. Biorante,1989.0,104,Action,Sci-Fi,
tt0097630,Journey to the Center of the Earth,Journey to the Center of the Earth,Journey to the Center of the Earth,1988.0,100,Adventure,Sci-Fi,
tt0097883,Millennium,Millennium,Millennium,1989.0,108,Drama,Sci-Fi,Thriller
tt0097911,Moontrap,Moontrap,Moontrap,1989.0,92,Horror,Sci-Fi,
tt0097982,Nightwish,Nightwish,Nightwish,1989.0,96,Horror,Sci-Fi,
tt0098156,Blue Steel,R.O.T.O.R.,R.O.T.O.R.,1987.0,90,Action,Sci-Fi,Thriller
tt0098156,R.O.T.O.R.,R.O.T.O.R.,R.O.T.O.R.,1987.0,90,Action,Sci-Fi,Thriller
tt0098350,Slipstream,Slipstream,Slipstream,1989.0,102,Adventure,Sci-Fi,
tt0098546,The Vidiot from UHF,UHF,UHF,1989.0,97,Comedy,Sci-Fi,
tt0098546,UHF,UHF,UHF,1989.0,97,Comedy,Sci-Fi,
tt0100116,Martians Go Home,Martians Go Home,Martians Go Home,1989.0,89,Comedy,Sci-Fi,
tt0102709,Primal Rage,Primal Rage,Rage - Furia primitiva,1988.0,91,Horror,Sci-Fi,Thriller
tt0102800,Robot Jox,Robot Jox,Robot Jox,1989.0,85,Action,Sci-Fi,Thriller
tt0123825,Escape from DS-3,Escape from DS-3,Escape from DS-3,1981.0,90,Crime,Sci-Fi,
tt0127045,Neon Maniacs,Neon Maniacs,Neon Maniacs,1986.0,91,Horror,Sci-Fi,Thriller
tt0138508,I Was a Zombie for the F.B.I.,I Was a Zombie for the F.B.I.,I Was a Zombie for the F.B.I.,1982.0,105,Comedy,Sci-Fi,
tt0141270,Hyperspace,Hyperspace,Hyperspace,1984.0,90,Comedy,Sci-Fi,
tt0142163,Sexy Timetrip Ninjas,Sexy Timetrip Ninjas,Chikan densha: Gokuhi honban,1984.0,65,Comedy,Sci-Fi,
tt0142916,Time Adventure: 5 Seconds Til Climax,Time Escapade: 5 Seconds Til Climax,Taimu abanchûru: Zecchô 5-byô mae,1986.0,76,Comedy,Sci-Fi,
tt0152098,PSI Factor,PSI Factor,PSI Factor,1980.0,91,Mystery,Sci-Fi,
tt0152394,A Message from the Future,A Message from the Future,Sheder Min Ha'Atid,1981.0,87,Drama,Sci-Fi,
